Organization,Measure,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014
Spring Harbor Hospital,Due from Affiliates,94897,,1387083,512779,
Spring Harbor Hospital,Third Party Settlements Receivable,177542,,,,
Spring Harbor Hospital,Other Accounts Receivable,,436797,390,3881,
Spring Harbor Hospital,Inventory,249042,262936,165398,125062,
Spring Harbor Hospital,Other Current Assets,112803,57792,76071,49909,
Spring Harbor Hospital,Total Non-Current Assets,21922445,20483199,19801761,20065063,
Spring Harbor Hospital,Trustee Held Investments,,,,,
Spring Harbor Hospital,Board Designated and Undesignated Investments,209360,288800,,,
Spring Harbor Hospital,Due From Affiliates,,,,,
Spring Harbor Hospital,Investments in Affiliates,,,,,
Spring Harbor Hospital,Other Non-current Assets,849793,233482,528311,511058,
Spring Harbor Hospital,"Gross Property, Plant and Equipment",,28190418,19960917,19273450,19554005
Spring Harbor Hospital,Accumulated Depreciation,7327126,,,,
Spring Harbor Hospital,"Net Property, Plant and Equipment",,20863292,19960917,19273450,19554005
Spring Harbor Hospital,Total Unrestricted Assets,32814620,36603027,33855887,36865204,
Spring Harbor Hospital,Total Current Liabilities,3275859,3773912,3164893,2927322,
Spring Harbor Hospital,Current Long Term Debt,,633280,663736,809247,834247
Spring Harbor Hospital,Accounts Payable and Accrued Expenses,2502554,2681701,2355646,2093075,
Spring Harbor Hospital,Estimated Third Party Settlements,,,,,
Spring Harbor Hospital,Due to Affiliates,140025,428475,,,
Spring Harbor Hospital,Other Current Liabilities,,,,,
Spring Harbor Hospital,Total Non-current Liabilities,21785617,24519268,21605178,23525344,
Spring Harbor Hospital,Long Term Debt,21555617,20890382,20474630,19640382,
Spring Harbor Hospital,Estimated Third Party Settlements,,,,,
Spring Harbor Hospital,Due to Affiliates,,,,,
Spring Harbor Hospital,Self Insurance Fund,,,,,
Spring Harbor Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,
Spring Harbor Hospital,Other Non-Current Liabilities,230000,3628886,1130548,3884962,
Spring Harbor Hospital,Fund Balance Unrestricted,7753144,8309847,9085816,10412538,
Spring Harbor Hospital,Total Liabilities & Equity,32814620,36603027,33855887,36865204,
Spring Harbor Hospital,Total Restricted Assets,413635,510432,637355,659218,
Spring Harbor Hospital,Cash and Investments,413635,510432,637355,659218,
Spring Harbor Hospital,Receivables,,,,,
Spring Harbor Hospital,Other Assets,,,,,
Spring Harbor Hospital,Total Restricted Liabilities and Equity,413635,510432,637355,659218,
Spring Harbor Hospital,Total Restricted Fund Balance,413635,510432,616644,650330,
Spring Harbor Hospital,Total Liabilities,,,20711,8888,
Spring Harbor Hospital,Temporarily Restricted Net Assets,63635,160432,266644,300330,
Spring Harbor Hospital,Permanently Restricted Net Assets,350000,350000,350000,350000,
Spring Harbor Hospital,Total Gross Patient Service Revenue,,46972182,48357674,50552450,53013911
Spring Harbor Hospital,Gross Inpatient Service Revenue,44091449,46082568,48485499,50507655,
Spring Harbor Hospital,Gross Outpatient Service Revenue,2880733,2275106,2066951,2506256,
Spring Harbor Hospital,Free Care,,,5509905,5667230,5675718
Spring Harbor Hospital,Bad Debt,,,,,597104
Spring Harbor Hospital,Contractuals,10617764,11496779,12496413,14355996,
Spring Harbor Hospital,Changes in Prior Year Estimated/Final Settlements,,,,-511000,
Spring Harbor Hospital,Net Patient Service Revenue,30247409,30526762,31069053,31403253,
Spring Harbor Hospital,Other Operating Revenue,1081619,890012,933721,823966,
Spring Harbor Hospital,Total Operating Revenue,31329028,31416774,32002774,32227219,
Spring Harbor Hospital,Total Operating Expenses,31022849,30886613,31341392,30927288,
Spring Harbor Hospital,Depreciation and Amortization,1038319,1049934,1064338,1081614,
Spring Harbor Hospital,Interest,1146337,1136308,1049357,772938,
Spring Harbor Hospital,Advertising Expenses,77451,,,,
Spring Harbor Hospital,Allowed Advertising Expenses,10717,,,,
Spring Harbor Hospital,Non-Allowed Advertising Expenses,66734,,,,
Spring Harbor Hospital,Salaries and Benefits,21606625,21316295,21107149,20961938,
Spring Harbor Hospital,Other Operating Expenses,7154117,7384076,8120548,8110798,
Spring Harbor Hospital,Net Operating Income,306179,530161,661382,1299931,
Spring Harbor Hospital,Total Non-operating Revenue,100577,55001,44174,26790,
Spring Harbor Hospital,Total Investment Income,100577,55001,44174,26790,
Spring Harbor Hospital,Interest and Dividends,100605,46073,44174,26790,
Spring Harbor Hospital,Realized Gains/Losses on Sales of Securities,-28,8928,,,
Spring Harbor Hospital,Permanently Impaired Security Writedowns,,,,,
Spring Harbor Hospital,Gains/Losses on Joint Ventures/Equity Investments,,,,,
Spring Harbor Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Spring Harbor Hospital,Other Non-Operating Revenues,,,,,
Spring Harbor Hospital,Excess of Revenue over Expenses,406756,585162,705556,1326721,
Spring Harbor Hospital,Extraordinary Gains/Losses,,,,,
Spring Harbor Hospital,Total Surplus/Deficit,406756,585162,705556,1326721,
Spring Harbor Hospital,Total Change in Unrestricted Net Assets,-493244,558701,775968,1326721,
Spring Harbor Hospital,Net Assets Released for Restrictions,,,,,70412
Spring Harbor Hospital,Unrealized Gains/Losses on Investments,,-16415,,,
Spring Harbor Hospital,Minimum Pension Liability Adjustment,,,,,
Spring Harbor Hospital,Transfers From/To Affiliates,-900000,-10046,,,
Spring Harbor Hospital,Mergers,,,,,
Spring Harbor Hospital,Consolidations with Support,,,,,
Spring Harbor Hospital,Other Changes,,,,,
St. Andrews Hospital,Total Current Assets,6539277,6293682,5119848,4932966,
St. Andrews Hospital,Cash and Investment,2034310,1281716,1217430,1127501,
St. Andrews Hospital,Current Assets Whose Use is Limited,463890,203124,338985,273601,
St. Andrews Hospital,Net Patient Accounts Receivable,2248141,2312264,1740671,1634333,
St. Andrews Hospital,Due from Affiliates,992778,1821439,1278189,1481036,
St. Andrews Hospital,Third Party Settlements Receivable,,,,,
St. Andrews Hospital,Other Accounts Receivable,,,,,
St. Andrews Hospital,Inventory,258303,328267,187079,162883,
St. Andrews Hospital,Other Current Assets,541855,346872,357494,253612,
St. Andrews Hospital,Total Non-Current Assets,23443129,22853078,22467041,22632388,
St. Andrews Hospital,Trustee Held Investments,,,,,
St. Andrews Hospital,Board Designated and Undesignated Investments,3765485,3883028,4527640,5410588,
St. Andrews Hospital,Due From Affiliates,,,,,
St. Andrews Hospital,Investments in Affiliates,597000,597000,597000,597000,
St. Andrews Hospital,Other Non-current Assets,101898,100236,89326,78307,
St. Andrews Hospital,"Gross Property, Plant and Equipment",,34136641,34618123,31538822,31815218
St. Andrews Hospital,Accumulated Depreciation,15157895,16345309,14285747,15268725,
St. Andrews Hospital,"Net Property, Plant and Equipment",,18978746,18272814,17253075,16546493
St. Andrews Hospital,Total Unrestricted Assets,29982406,29146760,27586889,27565354,
St. Andrews Hospital,Total Current Liabilities,5676516,4603716,3633246,4125729,
St. Andrews Hospital,Current Long Term Debt,,468475,551083,480850,548117
St. Andrews Hospital,Accounts Payable and Accrued Expenses,913914,671281,787474,1458324,
St. Andrews Hospital,Estimated Third Party Settlements,2715240,1878298,1085000,897000,
St. Andrews Hospital,Due to Affiliates,955644,1069342,920294,1043400,
St. Andrews Hospital,Other Current Liabilities,623243,433712,359628,178888,
St. Andrews Hospital,Total Non-current Liabilities,11468577,10858708,10352384,10076970,
St. Andrews Hospital,Long Term Debt,11294627,10744537,10240884,9984161,
St. Andrews Hospital,Estimated Third Party Settlements,,,,,
St. Andrews Hospital,Due to Affiliates,,,,,
St. Andrews Hospital,Self Insurance Fund,,,,,
St. Andrews Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,
St. Andrews Hospital,Other Non-Current Liabilities,173950,114171,111500,92809,
St. Andrews Hospital,Fund Balance Unrestricted,12837313,13684336,13601259,13362655,
St. Andrews Hospital,Total Liabilities & Equity,29982406,29146760,27586889,27565354,
St. Andrews Hospital,Total Restricted Assets,1273093,838687,833365,902423,
St. Andrews Hospital,Cash and Investments,1193198,818687,833365,901785,
St. Andrews Hospital,Receivables,79895,20000,,638,
St. Andrews Hospital,Other Assets,,,,,
St. Andrews Hospital,Total Restricted Liabilities and Equity,1273093,838687,833365,902423,
St. Andrews Hospital,Total Restricted Fund Balance,1273093,812059,804698,872751,
St. Andrews Hospital,Total Liabilities,,26628,28667,29672,
St. Andrews Hospital,Temporarily Restricted Net Assets,616233,180799,121618,161971,
St. Andrews Hospital,Permanently Restricted Net Assets,656860,631260,683080,710780,
St. Andrews Hospital,Total Gross Patient Service Revenue,,25014573,24013022,22702852,21437592
St. Andrews Hospital,Gross Inpatient Service Revenue,9879249,10424086,10394471,9681126,
St. Andrews Hospital,Gross Outpatient Service Revenue,15135324,13588936,12308381,11756466,
St. Andrews Hospital,Free Care,,,553512,434188,533587
St. Andrews Hospital,Bad Debt,,,,,476802
St. Andrews Hospital,Contractuals,4924536,5561001,5261518,4391846,
St. Andrews Hospital,Changes in Prior Year Estimated/Final Settlements,518000,,,,
St. Andrews Hospital,Net Patient Service Revenue,18541723,17517381,16562221,16188390,
St. Andrews Hospital,Other Operating Revenue,1124525,1277980,1049312,692691,
St. Andrews Hospital,Total Operating Revenue,19666248,18795361,17611533,16881081,
St. Andrews Hospital,Total Operating Expenses,19708595,18371325,18253059,18124399,
St. Andrews Hospital,Depreciation and Amortization,1327408,1280210,1266833,1210253,
St. Andrews Hospital,Interest,595005,534382,505609,477943,
St. Andrews Hospital,Advertising Expenses,38692,28121,35412,16844,
St. Andrews Hospital,Allowed Advertising Expenses,6179,5365,8272,3847,
St. Andrews Hospital,Non-Allowed Advertising Expenses,32513,22756,27140,12997,
St. Andrews Hospital,Salaries and Benefits,8756524,8220353,8188023,7887640,
St. Andrews Hospital,Other Operating Expenses,8990966,8308259,8257182,8531719,
St. Andrews Hospital,Net Operating Income,-42347,424036,-641526,-1243318,
St. Andrews Hospital,Total Non-operating Revenue,487136,450123,431732,523546,
St. Andrews Hospital,Total Investment Income,38504,282686,266824,130342,
St. Andrews Hospital,Interest and Dividends,87418,114936,88448,81281,
St. Andrews Hospital,Realized Gains/Losses on Sales of Securities,-48914,167750,178376,49061,
St. Andrews Hospital,Permanently Impaired Security Writedowns,,,,,
St. Andrews Hospital,Gains/Losses on Joint Ventures/Equity Investments,,,-10119,,
St. Andrews Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
St. Andrews Hospital,Other Non-Operating Revenues,,,,448632,167437
St. Andrews Hospital,Excess of Revenue over Expenses,444789,874159,-209794,-719772,
St. Andrews Hospital,Extraordinary Gains/Losses,,,,,
St. Andrews Hospital,Total Surplus/Deficit,444789,874159,-209794,-719772,
St. Andrews Hospital,Total Change in Unrestricted Net Assets,35770,847023,-83077,-238605,
St. Andrews Hospital,Net Assets Released for Restrictions,,,50000,397907,103069
St. Andrews Hospital,Unrealized Gains/Losses on Investments,171465,-151178,391387,389675,
St. Andrews Hospital,Minimum Pension Liability Adjustment,,,,,
St. Andrews Hospital,Transfers From/To Affiliates,-630484,-273865,-367739,66840,
St. Andrews Hospital,Mergers,,,,,
St. Andrews Hospital,Consolidations with Support,,,,,
St. Andrews Hospital,Other Changes,,,,,
St. Joseph Hospital,Total Current Assets,24724762,26223015,35577431,31276000,30878000
St. Joseph Hospital,Cash and Investment,16392881,15577477,18420561,19037000,15942000
St. Joseph Hospital,Current Assets Whose Use is Limited,,729580,728545,726000,695000
St. Joseph Hospital,Net Patient Accounts Receivable,6149071,7391000,9136040,9179000,11738000
St. Joseph Hospital,Due from Affiliates,,,,,
St. Joseph Hospital,Third Party Settlements Receivable,,,4820278,,
St. Joseph Hospital,Other Accounts Receivable,,156221,117627,226000,110000
St. Joseph Hospital,Inventory,1012980,758317,1075819,864000,593000
St. Joseph Hospital,Other Current Assets,1169830,1610420,1278561,1244000,1800000
St. Joseph Hospital,Total Non-Current Assets,27272953,29868247,35923730,42887000,41520000
St. Joseph Hospital,Trustee Held Investments,736457,,13303145,10728000,422000
St. Joseph Hospital,Board Designated and Undesignated Investments,1742527,1770995,17497,7544000,7872000
St. Joseph Hospital,Due From Affiliates,,,,,
St. Joseph Hospital,Investments in Affiliates,,,1603616,339000,321000
St. Joseph Hospital,Other Non-current Assets,1776173,6178524,435249,855000,1303000
St. Joseph Hospital,"Gross Property, Plant and Equipment",,62560136,62809817,63983213,69620000
St. Joseph Hospital,Accumulated Depreciation,39542340,40891089,43418990,46199000,49119000
St. Joseph Hospital,"Net Property, Plant and Equipment",,23017796,21918728,20564223,23421000
St. Joseph Hospital,Total Unrestricted Assets,51997715,56091262,71501161,74163000,72398000
St. Joseph Hospital,Total Current Liabilities,12051664,16471833,15060729,16110000,15286000
St. Joseph Hospital,Current Long Term Debt,,2026990,1290453,1574238,1785000
St. Joseph Hospital,Accounts Payable and Accrued Expenses,7889047,7802540,6656072,7244000,9305000
St. Joseph Hospital,Estimated Third Party Settlements,2135627,7378840,6830419,7681000,4453000
St. Joseph Hospital,Due to Affiliates,,,,-600000,
St. Joseph Hospital,Other Current Liabilities,,,,,
St. Joseph Hospital,Total Non-current Liabilities,18900307,20790154,33380137,28270000,29937000
St. Joseph Hospital,Long Term Debt,14739552,13456756,25404348,23581000,22054000
St. Joseph Hospital,Estimated Third Party Settlements,,,,,
St. Joseph Hospital,Due to Affiliates,,,,,
St. Joseph Hospital,Self Insurance Fund,,,,,
St. Joseph Hospital,Accrued Pension and Post Retiree Health Benefits,4160755,7333398,7975789,4689000,7883000
St. Joseph Hospital,Other Non-Current Liabilities,,,,,
St. Joseph Hospital,Fund Balance Unrestricted,21045744,18829275,23060295,29783000,27175000
St. Joseph Hospital,Total Liabilities & Equity,51997715,56091262,71501161,74163000,72398000
St. Joseph Hospital,Total Restricted Assets,2288800,2107925,2277355,2428000,2383000
St. Joseph Hospital,Cash and Investments,2288800,2107925,2277355,2428000,2383000
St. Joseph Hospital,Receivables,,,,,
St. Joseph Hospital,Other Assets,,,,,
St. Joseph Hospital,Total Restricted Liabilities and Equity,2288800,2107925,2277355,2428000,2383000
St. Joseph Hospital,Total Restricted Fund Balance,2288800,2107925,2277355,2428000,2383000
St. Joseph Hospital,Total Liabilities,,,,,
St. Joseph Hospital,Temporarily Restricted Net Assets,,,,,
St. Joseph Hospital,Permanently Restricted Net Assets,2288800,2107925,2277355,2428000,2383000
St. Joseph Hospital,Total Gross Patient Service Revenue,,164568941,174194903,186877585,220110000
St. Joseph Hospital,Gross Inpatient Service Revenue,61786537,70653519,68601812,77329000,85122000
St. Joseph Hospital,Gross Outpatient Service Revenue,102782404,103541384,118275773,142781000,160470000
St. Joseph Hospital,Free Care,,,1757748,2593374,2837793
St. Joseph Hospital,Bad Debt,,,,,6275693
St. Joseph Hospital,Contractuals,72914429,78644027,87111348,108011000,121689000
St. Joseph Hospital,Changes in Prior Year Estimated/Final Settlements,-1600000,,,,
St. Joseph Hospital,Net Patient Service Revenue,85221071,87177139,91370116,99686000,108976000
St. Joseph Hospital,Other Operating Revenue,1804055,3365876,4090892,3127000,2770000
St. Joseph Hospital,Total Operating Revenue,87025126,90543015,95461008,102813000,111746000
St. Joseph Hospital,Total Operating Expenses,81890940,82347549,90329236,94549000,101726000
St. Joseph Hospital,Depreciation and Amortization,4127851,3653816,3586790,3845000,4115000
St. Joseph Hospital,Interest,952293,771105,587234,613000,791000
St. Joseph Hospital,Advertising Expenses,164651,123302,174823,287000,348000
St. Joseph Hospital,Allowed Advertising Expenses,123528,123302,174823,287000,348000
St. Joseph Hospital,Non-Allowed Advertising Expenses,41123,,,,
St. Joseph Hospital,Salaries and Benefits,42046980,41943198,46166243,48448000,49305000
St. Joseph Hospital,Other Operating Expenses,34599165,35856128,39814146,41356000,47167000
St. Joseph Hospital,Net Operating Income,5134186,8195466,5131772,8264000,10020000
St. Joseph Hospital,Total Non-operating Revenue,735147,677605,1266477,816000,1696000
St. Joseph Hospital,Total Investment Income,735147,503746,1163763,604000,1602000
St. Joseph Hospital,Interest and Dividends,735147,526253,427089,484000,527000
St. Joseph Hospital,Realized Gains/Losses on Sales of Securities,,-22507,736674,120000,1075000
St. Joseph Hospital,Permanently Impaired Security Writedowns,,,,,
St. Joseph Hospital,Gains/Losses on Joint Ventures/Equity Investments,,46283,1478,11000,-10000
St. Joseph Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
St. Joseph Hospital,Other Non-Operating Revenues,,,,,127576
St. Joseph Hospital,Excess of Revenue over Expenses,5869333,8873071,6398249,9080000,11716000
St. Joseph Hospital,Extraordinary Gains/Losses,,,,,
St. Joseph Hospital,Total Surplus/Deficit,5869333,8873071,6398249,9080000,11716000
St. Joseph Hospital,Total Change in Unrestricted Net Assets,713748,-2088909,4231018,6723000,-2609000
St. Joseph Hospital,Net Assets Released for Restrictions,,,,,1065
St. Joseph Hospital,Unrealized Gains/Losses on Investments,637660,-420079,652568,1166000,-611000
St. Joseph Hospital,Minimum Pension Liability Adjustment,10703,-3140696,1545793,3659000,-3304000
St. Joseph Hospital,Transfers From/To Affiliates,-5803948,-7401205,-4366657,-7182000,-10410000
St. Joseph Hospital,Mergers,,,,,
St. Joseph Hospital,Consolidations with Support,,,,,
St. Joseph Hospital,Other Changes,,,,,
St. Mary's Regional Medical Center,Total Current Assets,57389000,45285000,50572000,50046000,45271000
St. Mary's Regional Medical Center,Cash and Investment,1400000,4687000,2831000,9213000,4262000
St. Mary's Regional Medical Center,Current Assets Whose Use is Limited,,,,,
St. Mary's Regional Medical Center,Net Patient Accounts Receivable,12899000,14749000,12955000,13807000,13858000
St. Mary's Regional Medical Center,Due from Affiliates,19160000,21654000,13749000,21843000,21881000
St. Mary's Regional Medical Center,Third Party Settlements Receivable,,,17698000,,369000
St. Mary's Regional Medical Center,Other Accounts Receivable,,,,,
St. Mary's Regional Medical Center,Inventory,1271000,1173000,1257000,1243000,1287000
St. Mary's Regional Medical Center,Other Current Assets,22659000,3022000,2082000,3940000,3614000
St. Mary's Regional Medical Center,Total Non-Current Assets,93347000,111560000,91459000,94585000,94512000
St. Mary's Regional Medical Center,Trustee Held Investments,10091000,1272000,1736000,1861000,1775000
St. Mary's Regional Medical Center,Board Designated and Undesignated Investments,26607000,26486000,27626000,31377000,32950000
St. Mary's Regional Medical Center,Due From Affiliates,,,,,
St. Mary's Regional Medical Center,Investments in Affiliates,1670000,2329000,2433000,2466000,2463000
St. Mary's Regional Medical Center,Other Non-current Assets,371000,22137000,1596000,3052000,2826000
St. Mary's Regional Medical Center,"Gross Property, Plant and Equipment",,96748000,106497000,109659000,109588000
St. Mary's Regional Medical Center,Accumulated Depreciation,42140000,47161000,51591000,53759000,58529000
St. Mary's Regional Medical Center,"Net Property, Plant and Equipment",,54608000,59336000,58068000,55829000
St. Mary's Regional Medical Center,Total Unrestricted Assets,150736000,156845000,142031000,144631000,139783000
St. Mary's Regional Medical Center,Total Current Liabilities,14725000,17871000,15387000,15675000,14591000
St. Mary's Regional Medical Center,Current Long Term Debt,,1778000,1906000,1953000,2071000
St. Mary's Regional Medical Center,Accounts Payable and Accrued Expenses,12947000,11764000,13434000,12083000,12474000
St. Mary's Regional Medical Center,Estimated Third Party Settlements,,1701000,,1521000,
St. Mary's Regional Medical Center,Due to Affiliates,,,,,
St. Mary's Regional Medical Center,Other Current Liabilities,,2500000,,,
St. Mary's Regional Medical Center,Total Non-current Liabilities,49190000,48357000,46779000,43931000,43520000
St. Mary's Regional Medical Center,Long Term Debt,48656000,46708000,45479000,43343000,41048000
St. Mary's Regional Medical Center,Estimated Third Party Settlements,,,,,
St. Mary's Regional Medical Center,Due to Affiliates,,,,,
St. Mary's Regional Medical Center,Self Insurance Fund,,,,,
St. Mary's Regional Medical Center,Accrued Pension and Post Retiree Health Benefits,,,,,
St. Mary's Regional Medical Center,Other Non-Current Liabilities,534000,1649000,1300000,588000,2472000
St. Mary's Regional Medical Center,Fund Balance Unrestricted,86821000,90617000,79865000,85025000,81672000
St. Mary's Regional Medical Center,Total Liabilities & Equity,150736000,156845000,142031000,144631000,139783000
St. Mary's Regional Medical Center,Total Restricted Assets,1970000,2392000,2239000,1689000,2006000
St. Mary's Regional Medical Center,Cash and Investments,1970000,2392000,2239000,1689000,2006000
St. Mary's Regional Medical Center,Receivables,,,,,
St. Mary's Regional Medical Center,Other Assets,,,,,
St. Mary's Regional Medical Center,Total Restricted Liabilities and Equity,1970000,2392000,2239000,1689000,2006000
St. Mary's Regional Medical Center,Total Restricted Fund Balance,1970000,2392000,2239000,1689000,2006000
St. Mary's Regional Medical Center,Total Liabilities,,,,,
St. Mary's Regional Medical Center,Temporarily Restricted Net Assets,1279000,1696000,1542000,992000,1309000
St. Mary's Regional Medical Center,Permanently Restricted Net Assets,691000,696000,697000,697000,697000
St. Mary's Regional Medical Center,Total Gross Patient Service Revenue,,324260000,361276000,364399000,387305000
St. Mary's Regional Medical Center,Gross Inpatient Service Revenue,132960000,135070000,129094000,134122000,135366000
St. Mary's Regional Medical Center,Gross Outpatient Service Revenue,191300000,226206000,235305000,253183000,259634000
St. Mary's Regional Medical Center,Free Care,,,9478000,11371000,15882000
St. Mary's Regional Medical Center,Bad Debt,,,,,6825000
St. Mary's Regional Medical Center,Contractuals,175003000,202140000,207016000,227740000,234168000
St. Mary's Regional Medical Center,Changes in Prior Year Estimated/Final Settlements,-29000,597000,-1089000,-2964000,-2500000
St. Mary's Regional Medical Center,Net Patient Service Revenue,132983000,140242000,136277000,138853000,138851000
St. Mary's Regional Medical Center,Other Operating Revenue,1541000,9901000,8656000,8757000,8272000
St. Mary's Regional Medical Center,Total Operating Revenue,134524000,150143000,144933000,147610000,147123000
St. Mary's Regional Medical Center,Total Operating Expenses,128379000,146076000,148698000,147509000,149574000
St. Mary's Regional Medical Center,Depreciation and Amortization,4446000,4993000,5289000,4964000,4851000
St. Mary's Regional Medical Center,Interest,1490000,2153000,2389000,2122000,1964000
St. Mary's Regional Medical Center,Advertising Expenses,,,479000,438000,431000
St. Mary's Regional Medical Center,Allowed Advertising Expenses,,,132000,100000,22000
St. Mary's Regional Medical Center,Non-Allowed Advertising Expenses,,,347000,338000,409000
St. Mary's Regional Medical Center,Salaries and Benefits,51631000,84318000,87081000,85709000,85926000
St. Mary's Regional Medical Center,Other Operating Expenses,70812000,54612000,53460000,54276000,56402000
St. Mary's Regional Medical Center,Net Operating Income,6145000,4067000,-3765000,101000,-2451000
St. Mary's Regional Medical Center,Total Non-operating Revenue,1880000,-2077000,2504000,2784000,1136000
St. Mary's Regional Medical Center,Total Investment Income,2805000,505000,1685000,2248000,1105000
St. Mary's Regional Medical Center,Interest and Dividends,2805000,505000,1685000,2248000,1105000
St. Mary's Regional Medical Center,Realized Gains/Losses on Sales of Securities,,,,,
St. Mary's Regional Medical Center,Permanently Impaired Security Writedowns,,,,,
St. Mary's Regional Medical Center,Gains/Losses on Joint Ventures/Equity Investments,,,,,
St. Mary's Regional Medical Center,Permanently Impaired Writedowns of Other Assets,,,,,
St. Mary's Regional Medical Center,Other Non-Operating Revenues,,,,-925000,-2582000
St. Mary's Regional Medical Center,Excess of Revenue over Expenses,8025000,1990000,-1261000,2885000,-1315000
St. Mary's Regional Medical Center,Extraordinary Gains/Losses,,,,,
St. Mary's Regional Medical Center,Total Surplus/Deficit,8025000,1990000,-1261000,2885000,-1315000
St. Mary's Regional Medical Center,Total Change in Unrestricted Net Assets,9330000,3796000,-10752000,5160000,-3353000
St. Mary's Regional Medical Center,Net Assets Released for Restrictions,,,279000,321000,360000
St. Mary's Regional Medical Center,Unrealized Gains/Losses on Investments,,,,,
St. Mary's Regional Medical Center,Minimum Pension Liability Adjustment,,,,,
St. Mary's Regional Medical Center,Transfers From/To Affiliates,1026000,1485000,-9851000,2275000,-2160000
St. Mary's Regional Medical Center,Mergers,,,,,
St. Mary's Regional Medical Center,Consolidations with Support,,,,,
St. Mary's Regional Medical Center,Other Changes,,,,,122000
Stephens Memorial Hospital,Total Current Assets,9059251,15424898,15451252,22182824,23267932
Stephens Memorial Hospital,Cash and Investment,4884266,6153111,6341059,14231199,14698307
Stephens Memorial Hospital,Current Assets Whose Use is Limited,278959,889188,989716,1022963,979959
Stephens Memorial Hospital,Net Patient Accounts Receivable,2293478,6824645,6595626,5292592,5618001
Stephens Memorial Hospital,Due from Affiliates,,,,,
Stephens Memorial Hospital,Third Party Settlements Receivable,,,,,
Stephens Memorial Hospital,Other Accounts Receivable,,,,,
Stephens Memorial Hospital,Inventory,1011207,1093414,1064314,1168208,1297342
Stephens Memorial Hospital,Other Current Assets,591341,464540,460537,467862,674323
Stephens Memorial Hospital,Total Non-Current Assets,28025654,25314650,29016723,26628281,28130813
Stephens Memorial Hospital,Trustee Held Investments,403914,406013,406695,407302,
Stephens Memorial Hospital,Board Designated and Undesignated Investments,8466172,3499868,3874840,4097710,4887307
Stephens Memorial Hospital,Due From Affiliates,,,,,
Stephens Memorial Hospital,Investments in Affiliates,3677439,3699734,4306123,4732324,5157332
Stephens Memorial Hospital,Other Non-current Assets,1326582,3540613,6973237,4247270,5763988
Stephens Memorial Hospital,"Gross Property, Plant and Equipment",,40045512,42062616,43094283,44164477
Stephens Memorial Hospital,Accumulated Depreciation,25893965,27894194,29638455,31020802,32653905
Stephens Memorial Hospital,"Net Property, Plant and Equipment",,14151547,14168422,13455828,13143675
Stephens Memorial Hospital,Total Unrestricted Assets,37084905,40739548,44467975,48811105,51398745
Stephens Memorial Hospital,Total Current Liabilities,5888712,7915863,7322137,12757453,12528614
Stephens Memorial Hospital,Current Long Term Debt,,283002,328527,351794,310803
Stephens Memorial Hospital,Accounts Payable and Accrued Expenses,2909404,4185264,4486912,4803950,4252247
Stephens Memorial Hospital,Estimated Third Party Settlements,2138165,2327836,1336843,6552389,7069781
Stephens Memorial Hospital,Due to Affiliates,558141,1074236,1146588,1090311,1094727
Stephens Memorial Hospital,Other Current Liabilities,,,,,
Stephens Memorial Hospital,Total Non-current Liabilities,4295543,4405164,4317729,3988356,2525487
Stephens Memorial Hospital,Long Term Debt,3689360,3487968,3153685,2874042,59185
Stephens Memorial Hospital,Estimated Third Party Settlements,,,,,
Stephens Memorial Hospital,Due to Affiliates,,,,,1312402
Stephens Memorial Hospital,Self Insurance Fund,,,,,
Stephens Memorial Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,
Stephens Memorial Hospital,Other Non-Current Liabilities,606183,917196,1164044,1114314,1153900
Stephens Memorial Hospital,Fund Balance Unrestricted,26900650,28418521,32828109,32065296,36344644
Stephens Memorial Hospital,Total Liabilities & Equity,37084905,40739548,44467975,48811105,51398745
Stephens Memorial Hospital,Total Restricted Assets,1003998,1024882,1145448,1219437,1582900
Stephens Memorial Hospital,Cash and Investments,1003998,1024882,1145448,1219437,1582900
Stephens Memorial Hospital,Receivables,,,,,
Stephens Memorial Hospital,Other Assets,,,,,
Stephens Memorial Hospital,Total Restricted Liabilities and Equity,1003998,1024882,1145448,1219437,1582900
Stephens Memorial Hospital,Total Restricted Fund Balance,1003998,1024882,1145448,1219437,1582900
Stephens Memorial Hospital,Total Liabilities,,,,,
Stephens Memorial Hospital,Temporarily Restricted Net Assets,451844,472728,593294,667283,1024489
Stephens Memorial Hospital,Permanently Restricted Net Assets,552154,552154,552154,552154,558411
Stephens Memorial Hospital,Total Gross Patient Service Revenue,,92126056,92093892,93610932,96228351
Stephens Memorial Hospital,Gross Inpatient Service Revenue,29786310,24328172,19119244,19758648,18568934
Stephens Memorial Hospital,Gross Outpatient Service Revenue,62339746,67765720,74491688,76469703,76776186
Stephens Memorial Hospital,Free Care,,,1997478,2046576,2104946
Stephens Memorial Hospital,Bad Debt,,,,,3225401
Stephens Memorial Hospital,Contractuals,46343695,40076894,36104720,36163568,33057895
Stephens Memorial Hospital,Changes in Prior Year Estimated/Final Settlements,-1000000,-1891000,-1975000,-890000,-1295000
