Hospital,Ratio,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009
Rumford Community Hospital,Return On Assets,0.135,0.079,0.146,0.032,0.056
Rumford Community Hospital,Return On Equity,0.216,0.133,0.218,0.05,0.088
Rumford Community Hospital,Markup,1.853,1.756,1.799,1.704,1.769
Rumford Community Hospital,Deductible,0.392,0.36,0.346,0.361,0.367
Rumford Community Hospital,Markup Adjustment for Deductible,1.136,1.13,1.179,1.09,1.121
Rumford Community Hospital,Reported Income Index,0.906,1.065,1.054,1.13,1.024
Rumford Community Hospital,Total Asset Turnover,1.569,1.398,1.507,1.412,1.403
Rumford Community Hospital,Fixed Asset Turnover,3.807,2.933,3.361,2.625,2.325
Rumford Community Hospital,Average Age Plant Depreciation Only,15.944,14.7,12.287,11.883,12.074
Rumford Community Hospital,Total Operating Expense Growth,0.035,0.108,0.15,0.113,0.077
Rumford Community Hospital,Total Operating Revenue Growth,0.016,0.066,0.192,0.044,0.103
Rumford Community Hospital,Realized Gains Divided by Non-Operating Revenue,,,0.352,0.002,2.898
Rumford Community Hospital,Realized Gains Divided by Net Income,,,0.069,0.0,-0.138
Rumford Community Hospital,Long Term Debt to Equity,0.169,0.096,0.059,0.055,0.049
Sebasticook Valley Hospital,Current Ratio with Board Designated and Undesignated Investments,1.958,2.069,1.493,1.338,2.182
Sebasticook Valley Hospital,Current Ratio without Board Designated and Undesignated Investments,1.429,1.515,1.199,1.015,1.509
Sebasticook Valley Hospital,Days in Accounts Receivable,28.577,25.962,54.7,35.766,22.936
Sebasticook Valley Hospital,Acid Test,0.772,0.389,0.242,0.319,0.67
Sebasticook Valley Hospital,"Days Cash on Hand, Current",54.127,25.056,24.286,28.208,55.157
Sebasticook Valley Hospital,"Days Cash on Hand, Incl Board Designated & Undesignated Investments",91.246,60.804,53.883,56.714,110.519
Sebasticook Valley Hospital,"Average Payment Period, Accounts Payable and Accrued Expenses",40.493,37.456,33.951,36.986,33.534
Sebasticook Valley Hospital,"Average Payment Period, Current Liabilities",70.117,64.487,100.377,88.44,82.318
Sebasticook Valley Hospital,Equity Financing Ratio,0.477,0.517,0.47,0.526,0.573
Sebasticook Valley Hospital,Fixed Asset Financing,0.638,0.597,0.529,0.488,0.428
Sebasticook Valley Hospital,Cash Flow Divided by Total Debt,0.153,0.247,0.177,0.351,0.281
Sebasticook Valley Hospital,Cash Flow Divided by Total Debt with Operating Income Only,0.146,0.232,0.162,0.336,0.274
Sebasticook Valley Hospital,Debt Service Coverage Total,2.463,3.031,3.147,5.769,3.863
Sebasticook Valley Hospital,Debt Service Coverage Total with Operating Income Only,2.373,2.872,2.909,5.531,3.776
Sebasticook Valley Hospital,Total Margin,0.021,0.052,0.036,0.09,0.054
Sebasticook Valley Hospital,Operating Margin,0.017,0.046,0.03,0.084,0.051
Sebasticook Valley Hospital,Non Operating Revenue Margin,0.161,0.115,0.183,0.063,0.043
Sebasticook Valley Hospital,Return On Assets,0.022,0.061,0.043,0.116,0.067
Sebasticook Valley Hospital,Return On Equity,0.046,0.118,0.092,0.22,0.117
Sebasticook Valley Hospital,Markup,2.029,1.977,1.85,1.869,1.805
Sebasticook Valley Hospital,Deductible,0.464,0.418,0.384,0.379,0.378
Sebasticook Valley Hospital,Markup Adjustment for Deductible,1.107,1.168,1.156,1.172,1.132
Sebasticook Valley Hospital,Reported Income Index,0.54,0.953,1.017,1.081,0.84
Sebasticook Valley Hospital,Total Asset Turnover,1.059,1.182,1.194,1.295,1.25
Sebasticook Valley Hospital,Fixed Asset Turnover,2.036,2.448,2.937,3.297,3.278
Sebasticook Valley Hospital,Average Age Plant Depreciation Only,9.589,10.024,10.541,10.446,9.859
Sebasticook Valley Hospital,Total Operating Expense Growth,0.029,0.139,0.24,0.15,0.07
Sebasticook Valley Hospital,Total Operating Revenue Growth,0.013,0.173,0.219,0.219,0.033
Sebasticook Valley Hospital,Realized Gains Divided by Non-Operating Revenue,0.396,0.657,0.468,0.601,-0.83
Sebasticook Valley Hospital,Realized Gains Divided by Net Income,0.064,0.076,0.086,0.038,-0.036
Sebasticook Valley Hospital,Long Term Debt to Equity,0.693,0.555,0.454,0.362,0.284
Southern Maine Medical Center,Current Ratio with Board Designated and Undesignated Investments,4.691,4.441,3.807,3.119,2.473
Southern Maine Medical Center,Current Ratio without Board Designated and Undesignated Investments,2.627,2.464,2.184,1.487,1.719
Southern Maine Medical Center,Days in Accounts Receivable,43.279,43.375,41.266,40.17,49.03
Southern Maine Medical Center,Acid Test,0.689,0.652,0.944,0.66,0.47
Southern Maine Medical Center,"Days Cash on Hand, Current",27.117,25.244,47.989,38.33,28.991
Southern Maine Medical Center,"Days Cash on Hand, Incl Board Designated & Undesignated Investments",108.369,101.844,130.476,132.774,75.23
Southern Maine Medical Center,"Average Payment Period, Accounts Payable and Accrued Expenses",35.892,35.272,47.32,41.046,29.814
Southern Maine Medical Center,"Average Payment Period, Current Liabilities",39.369,38.742,50.819,57.863,61.307
Southern Maine Medical Center,Equity Financing Ratio,0.739,0.752,0.617,0.618,0.534
Southern Maine Medical Center,Fixed Asset Financing,0.321,0.267,0.599,0.486,0.542
Southern Maine Medical Center,Cash Flow Divided by Total Debt,0.272,0.271,0.263,0.138,0.057
Southern Maine Medical Center,Cash Flow Divided by Total Debt with Operating Income Only,0.23,0.233,0.135,0.121,0.152
Southern Maine Medical Center,Debt Service Coverage Total,4.421,4.342,8.382,4.534,1.712
Southern Maine Medical Center,Debt Service Coverage Total with Operating Income Only,3.807,3.786,4.48,4.012,3.627
Southern Maine Medical Center,Total Margin,0.011,0.009,0.055,0.008,-0.031
Southern Maine Medical Center,Operating Margin,0.002,0.001,0.008,0.001,0.013
Southern Maine Medical Center,Non Operating Revenue Margin,0.84,0.871,0.871,0.872,1.424
Southern Maine Medical Center,Return On Assets,0.013,0.011,0.056,0.008,-0.031
Southern Maine Medical Center,Return On Equity,0.018,0.015,0.091,0.012,-0.058
Southern Maine Medical Center,Markup,1.961,2.014,2.121,2.091,2.042
Southern Maine Medical Center,Deductible,0.475,0.469,0.491,0.485,0.456
Southern Maine Medical Center,Markup Adjustment for Deductible,1.048,1.086,1.095,1.093,1.123
Southern Maine Medical Center,Reported Income Index,0.589,0.256,1.356,0.123,2.748
Southern Maine Medical Center,Total Asset Turnover,1.217,1.228,1.014,0.916,0.993
Southern Maine Medical Center,Fixed Asset Turnover,2.977,2.842,2.382,1.896,1.917
Southern Maine Medical Center,Average Age Plant Depreciation Only,10.975,11.799,12.351,11.851,9.265
Southern Maine Medical Center,Total Operating Expense Growth,0.068,0.053,0.027,0.055,0.278
Southern Maine Medical Center,Total Operating Revenue Growth,0.063,0.053,0.034,0.048,0.293
Southern Maine Medical Center,Realized Gains Divided by Non-Operating Revenue,,,,0.0,-0.148
Southern Maine Medical Center,Realized Gains Divided by Net Income,,,,0.0,-0.211
Southern Maine Medical Center,Long Term Debt to Equity,0.176,0.152,0.393,0.377,0.55
Spring Harbor Hospital,Current Ratio with Board Designated and Undesignated Investments,1.83,2.234,1.389,2.109,4.538
Spring Harbor Hospital,Current Ratio without Board Designated and Undesignated Investments,1.83,2.234,1.389,2.109,4.538
Spring Harbor Hospital,Days in Accounts Receivable,17.205,36.624,25.258,25.281,15.151
Spring Harbor Hospital,Acid Test,0.918,0.518,0.93,1.244,3.444
Spring Harbor Hospital,"Days Cash on Hand, Current",59.714,29.891,63.858,49.337,95.998
Spring Harbor Hospital,"Days Cash on Hand, Incl Board Designated & Undesignated Investments",59.714,29.891,63.858,49.337,95.998
Spring Harbor Hospital,"Average Payment Period, Accounts Payable and Accrued Expenses",27.39,29.765,39.891,32.882,20.523
Spring Harbor Hospital,"Average Payment Period, Current Liabilities",65.025,57.693,68.63,39.654,27.876
Spring Harbor Hospital,Equity Financing Ratio,0.175,0.195,0.204,0.237,0.25
Spring Harbor Hospital,Fixed Asset Financing,0.925,0.945,0.971,0.996,1.017
Spring Harbor Hospital,Cash Flow Divided by Total Debt,0.074,0.078,0.097,0.079,0.065
Spring Harbor Hospital,Cash Flow Divided by Total Debt with Operating Income Only,0.071,0.075,0.07,0.078,0.063
Spring Harbor Hospital,Debt Service Coverage Total,1.84,1.103,2.29,1.86,1.568
Spring Harbor Hospital,Debt Service Coverage Total with Operating Income Only,1.797,1.072,1.846,1.846,1.553
Spring Harbor Hospital,Total Margin,0.025,0.025,0.044,0.022,0.013
Spring Harbor Hospital,Operating Margin,0.023,0.022,0.019,0.021,0.012
Spring Harbor Hospital,Non Operating Revenue Margin,0.111,0.128,0.572,0.031,0.062
Spring Harbor Hospital,Return On Assets,0.02,0.022,0.038,0.021,0.013
Spring Harbor Hospital,Return On Equity,0.117,0.112,0.184,0.091,0.05
Spring Harbor Hospital,Markup,1.502,1.469,1.508,1.5,1.502
Spring Harbor Hospital,Deductible,0.176,0.195,0.23,0.206,0.2
Spring Harbor Hospital,Markup Adjustment for Deductible,1.24,1.187,1.169,1.197,1.209
Spring Harbor Hospital,Reported Income Index,0.421,1.005,2.904,0.928,12.923
Spring Harbor Hospital,Total Asset Turnover,0.803,0.854,0.859,0.973,0.964
Spring Harbor Hospital,Fixed Asset Turnover,1.069,1.195,1.265,1.473,1.456
Spring Harbor Hospital,Average Age Plant Depreciation Only,1.924,2.835,3.867,5.16,5.33
Spring Harbor Hospital,Total Operating Expense Growth,0.093,0.071,0.009,0.104,-0.05
Spring Harbor Hospital,Total Operating Revenue Growth,0.086,0.071,0.006,0.107,-0.059
Spring Harbor Hospital,Long Term Debt to Equity,3.967,3.449,3.154,2.775,2.691
St. Andrews Hospital,Current Ratio with Board Designated and Undesignated Investments,1.991,2.208,1.868,1.762,1.969
St. Andrews Hospital,Current Ratio without Board Designated and Undesignated Investments,1.147,1.188,0.984,1.155,1.181
St. Andrews Hospital,Days in Accounts Receivable,71.457,65.968,56.103,55.417,54.619
St. Andrews Hospital,Acid Test,0.31,0.305,0.28,0.484,0.395
St. Andrews Hospital,"Days Cash on Hand, Current",30.46,23.45,25.396,45.334,29.236
St. Andrews Hospital,"Days Cash on Hand, Incl Board Designated & Undesignated Investments",113.37,101.878,105.457,102.149,87.501
St. Andrews Hospital,"Average Payment Period, Accounts Payable and Accrued Expenses",31.191,34.716,47.525,37.952,24.083
St. Andrews Hospital,"Average Payment Period, Current Liabilities",98.203,76.917,90.603,93.59,73.965
St. Andrews Hospital,Equity Financing Ratio,0.454,0.475,0.492,0.417,0.446
St. Andrews Hospital,Fixed Asset Financing,0.545,0.53,0.47,0.583,0.583
St. Andrews Hospital,Cash Flow Divided by Total Debt,0.065,0.086,0.155,0.038,0.03
St. Andrews Hospital,Cash Flow Divided by Total Debt with Operating Income Only,0.027,0.039,0.097,0.027,0.011
St. Andrews Hospital,Debt Service Coverage Total,1.759,1.975,3.13,1.442,1.101
St. Andrews Hospital,Debt Service Coverage Total with Operating Income Only,1.092,1.241,2.195,1.203,0.788
St. Andrews Hospital,Total Margin,-0.014,0.001,0.051,-0.025,-0.043
St. Andrews Hospital,Operating Margin,-0.05,-0.034,0.013,-0.035,-0.059
St. Andrews Hospital,Non Operating Revenue Margin,-2.311,27.744,0.751,-0.394,-0.355
St. Andrews Hospital,Return On Assets,-0.009,0.001,0.039,-0.017,-0.03
St. Andrews Hospital,Return On Equity,-0.02,0.002,0.079,-0.04,-0.068
St. Andrews Hospital,Markup,1.32,1.34,1.377,1.255,1.286
St. Andrews Hospital,Deductible,0.281,0.285,0.297,0.212,0.249
St. Andrews Hospital,Markup Adjustment for Deductible,0.996,1.012,1.021,1.022,1.006
St. Andrews Hospital,Reported Income Index,-0.331,0.168,0.735,1.04,-21.876
St. Andrews Hospital,Total Asset Turnover,0.625,0.731,0.763,0.664,0.707
St. Andrews Hospital,Fixed Asset Turnover,0.904,1.066,1.102,0.961,0.994
St. Andrews Hospital,Average Age Plant Depreciation Only,8.492,9.812,11.063,10.632,10.382
St. Andrews Hospital,Total Operating Expense Growth,0.119,0.114,0.073,0.067,0.017
St. Andrews Hospital,Total Operating Revenue Growth,0.199,0.131,0.124,0.017,-0.006
St. Andrews Hospital,Realized Gains Divided by Non-Operating Revenue,0.007,0.388,0.41,-0.461,-0.006
St. Andrews Hospital,Realized Gains Divided by Net Income,-0.017,10.778,0.308,0.182,0.002
St. Andrews Hospital,Long Term Debt to Equity,0.802,0.741,0.637,0.955,0.915
St. Joseph Hospital,Current Ratio with Board Designated and Undesignated Investments,2.849,2.859,2.702,1.435,1.669
St. Joseph Hospital,Current Ratio without Board Designated and Undesignated Investments,2.693,2.69,2.462,1.354,1.572
St. Joseph Hospital,Days in Accounts Receivable,34.42,31.691,34.097,32.6,24.052
St. Joseph Hospital,Acid Test,1.447,1.456,1.535,0.776,1.07
St. Joseph Hospital,"Days Cash on Hand, Current",72.973,69.057,71.307,53.969,77.351
St. Joseph Hospital,"Days Cash on Hand, Incl Board Designated & Undesignated Investments",80.85,77.111,82.481,59.603,84.428
St. Joseph Hospital,"Average Payment Period, Accounts Payable and Accrued Expenses",37.511,39.198,39.696,46.276,36.574
St. Joseph Hospital,"Average Payment Period, Current Liabilities",50.435,47.428,46.453,69.544,72.306
St. Joseph Hospital,Equity Financing Ratio,0.475,0.528,0.536,0.321,0.36
St. Joseph Hospital,Fixed Asset Financing,0.688,0.612,0.577,0.619,0.627
St. Joseph Hospital,Cash Flow Divided by Total Debt,0.254,0.268,0.194,0.113,0.246
St. Joseph Hospital,Cash Flow Divided by Total Debt with Operating Income Only,0.205,0.258,0.126,0.092,0.239
St. Joseph Hospital,Debt Service Coverage Total,2.618,2.42,2.226,2.106,3.296
St. Joseph Hospital,Debt Service Coverage Total with Operating Income Only,2.182,2.341,1.58,1.786,3.217
St. Joseph Hospital,Total Margin,0.05,0.044,0.012,-0.001,0.052
St. Joseph Hospital,Operating Margin,0.032,0.041,-0.01,-0.01,0.05
St. Joseph Hospital,Non Operating Revenue Margin,0.378,0.074,1.816,-16.879,0.051
St. Joseph Hospital,Return On Assets,0.068,0.063,0.017,-0.001,0.082
St. Joseph Hospital,Return On Equity,0.143,0.12,0.032,-0.003,0.228
St. Joseph Hospital,Markup,1.834,1.823,1.798,1.853,1.985
St. Joseph Hospital,Deductible,0.41,0.412,0.423,0.429,0.439
St. Joseph Hospital,Markup Adjustment for Deductible,1.095,1.083,1.044,1.068,1.123
St. Joseph Hospital,Reported Income Index,3.069,0.809,-1.397,0.004,1.705
St. Joseph Hospital,Total Asset Turnover,1.368,1.425,1.448,1.55,1.563
St. Joseph Hospital,Fixed Asset Turnover,2.812,3.034,2.942,3.144,3.397
St. Joseph Hospital,Average Age Plant Depreciation Only,8.518,8.929,9.083,9.298,10.006
St. Joseph Hospital,Total Operating Expense Growth,0.027,0.107,0.01,0.043,-0.018
St. Joseph Hospital,Total Operating Revenue Growth,0.041,0.118,-0.041,0.043,0.045
St. Joseph Hospital,Long Term Debt to Equity,0.692,0.543,0.518,0.942,0.799
St. Mary's Regional Medical Center,Current Ratio with Board Designated and Undesignated Investments,6.94,6.956,6.026,6.033,6.123
St. Mary's Regional Medical Center,Current Ratio without Board Designated and Undesignated Investments,4.189,4.179,3.834,4.346,3.523
St. Mary's Regional Medical Center,Days in Accounts Receivable,43.551,36.168,35.398,36.04,24.5
St. Mary's Regional Medical Center,Acid Test,0.881,0.727,1.374,0.28,0.63
St. Mary's Regional Medical Center,"Days Cash on Hand, Current",24.93,20.709,44.737,8.563,18.088
St. Mary's Regional Medical Center,"Days Cash on Hand, Incl Board Designated & Undesignated Investments",102.786,99.797,116.125,60.874,92.983
St. Mary's Regional Medical Center,"Average Payment Period, Accounts Payable and Accrued Expenses",24.421,24.757,28.331,26.464,23.182
St. Mary's Regional Medical Center,"Average Payment Period, Current Liabilities",28.293,28.488,32.559,31.011,28.811
St. Mary's Regional Medical Center,Equity Financing Ratio,0.643,0.658,0.63,0.634,0.569
St. Mary's Regional Medical Center,Fixed Asset Financing,0.754,0.766,0.979,0.852,1.3
St. Mary's Regional Medical Center,Cash Flow Divided by Total Debt,0.785,0.353,0.383,0.104,0.254
St. Mary's Regional Medical Center,Cash Flow Divided by Total Debt with Operating Income Only,0.733,0.267,0.349,0.242,0.18
St. Mary's Regional Medical Center,Debt Service Coverage Total,12.304,5.649,7.155,2.331,7.031
St. Mary's Regional Medical Center,Debt Service Coverage Total with Operating Income Only,11.529,4.41,6.569,4.74,5.135
St. Mary's Regional Medical Center,Total Margin,0.17,0.056,0.08,-0.003,0.083
St. Mary's Regional Medical Center,Operating Margin,0.159,0.034,0.07,0.039,0.051
St. Mary's Regional Medical Center,Non Operating Revenue Margin,0.079,0.411,0.128,17.238,0.402
St. Mary's Regional Medical Center,Return On Assets,0.235,0.072,0.098,-0.003,0.079
St. Mary's Regional Medical Center,Return On Equity,0.366,0.109,0.155,-0.005,0.138
St. Mary's Regional Medical Center,Markup,2.456,2.455,2.45,2.518,2.527
St. Mary's Regional Medical Center,Deductible,0.536,0.554,0.542,0.554,0.553
St. Mary's Regional Medical Center,Markup Adjustment for Deductible,1.145,1.104,1.13,1.131,1.14
St. Mary's Regional Medical Center,Reported Income Index,1.37,2.351,1.766,-7.708,0.848
St. Mary's Regional Medical Center,Total Asset Turnover,1.384,1.272,1.226,1.158,0.955
St. Mary's Regional Medical Center,Fixed Asset Turnover,3.826,3.797,4.382,3.821,3.331
St. Mary's Regional Medical Center,Average Age Plant Depreciation Only,9.342,7.301,7.608,8.624,9.66
St. Mary's Regional Medical Center,Total Operating Expense Growth,0.034,0.071,0.075,0.025,0.003
St. Mary's Regional Medical Center,Total Operating Revenue Growth,0.236,-0.067,0.118,-0.008,0.016
St. Mary's Regional Medical Center,Long Term Debt to Equity,0.419,0.381,0.43,0.425,0.633
Stephens Memorial Hospital,Current Ratio with Board Designated and Undesignated Investments,2.87,2.862,2.481,2.51,2.534
Stephens Memorial Hospital,Current Ratio without Board Designated and Undesignated Investments,2.15,2.182,1.897,1.701,1.622
Stephens Memorial Hospital,Days in Accounts Receivable,17.213,20.262,16.434,20.304,20.571
Stephens Memorial Hospital,Acid Test,0.802,1.269,1.369,1.097,1.091
Stephens Memorial Hospital,"Days Cash on Hand, Current",41.692,67.573,108.136,69.479,79.317
Stephens Memorial Hospital,"Days Cash on Hand, Incl Board Designated & Undesignated Investments",79.128,103.758,154.225,120.74,145.6
Stephens Memorial Hospital,"Average Payment Period, Accounts Payable and Accrued Expenses",35.29,44.297,36.647,35.61,31.581
Stephens Memorial Hospital,"Average Payment Period, Current Liabilities",52.001,53.242,78.982,63.343,72.693
Stephens Memorial Hospital,Equity Financing Ratio,0.663,0.718,0.692,0.707,0.688
Stephens Memorial Hospital,Fixed Asset Financing,0.354,0.249,0.237,0.229,0.25
Stephens Memorial Hospital,Cash Flow Divided by Total Debt,0.471,0.518,0.703,0.538,0.415
Stephens Memorial Hospital,Cash Flow Divided by Total Debt with Operating Income Only,0.482,0.533,0.584,0.506,0.4
Stephens Memorial Hospital,Debt Service Coverage Total,3.616,5.264,33.799,24.59,22.659
Stephens Memorial Hospital,Debt Service Coverage Total with Operating Income Only,3.695,5.408,28.117,23.165,21.874
Stephens Memorial Hospital,Total Margin,0.082,0.084,0.14,0.078,0.064
Stephens Memorial Hospital,Operating Margin,0.085,0.087,0.111,0.071,0.061
Stephens Memorial Hospital,Non Operating Revenue Margin,-0.038,-0.043,0.232,0.1,0.063
Stephens Memorial Hospital,Return On Assets,0.095,0.095,0.158,0.093,0.072
Stephens Memorial Hospital,Return On Equity,0.144,0.132,0.228,0.131,0.105
Stephens Memorial Hospital,Markup,2.128,2.171,2.252,2.178,2.261
Stephens Memorial Hospital,Deductible,0.45,0.441,0.465,0.475,0.497
Stephens Memorial Hospital,Markup Adjustment for Deductible,1.177,1.22,1.213,1.151,1.143
Stephens Memorial Hospital,Reported Income Index,0.777,0.805,1.694,-3.712,-65.363
Stephens Memorial Hospital,Total Asset Turnover,1.165,1.128,1.125,1.19,1.12
Stephens Memorial Hospital,Fixed Asset Turnover,2.31,2.339,2.7,2.797,2.859
Stephens Memorial Hospital,Average Age Plant Depreciation Only,9.651,11.338,9.065,9.099,11.035
Stephens Memorial Hospital,Total Operating Expense Growth,0.092,0.065,0.122,0.074,-0.021
Stephens Memorial Hospital,Total Operating Revenue Growth,0.117,0.068,0.153,0.027,-0.032
Stephens Memorial Hospital,Realized Gains Divided by Non-Operating Revenue,-0.26,-0.388,0.194,,
Stephens Memorial Hospital,Realized Gains Divided by Net Income,0.01,0.017,0.045,,
Stephens Memorial Hospital,Long Term Debt to Equity,0.27,0.167,0.138,0.137,0.142
Waldo County General Hospital,Current Ratio with Board Designated and Undesignated Investments,4.835,5.253,5.303,4.655,4.748
Waldo County General Hospital,Current Ratio without Board Designated and Undesignated Investments,1.575,2.289,2.212,1.974,1.997
Waldo County General Hospital,Days in Accounts Receivable,31.263,25.163,33.307,37.127,29.491
Waldo County General Hospital,Acid Test,0.575,0.569,0.849,0.339,0.86
Waldo County General Hospital,"Days Cash on Hand, Current",31.296,31.152,42.665,14.427,42.152
Waldo County General Hospital,"Days Cash on Hand, Incl Board Designated & Undesignated Investments",208.697,193.342,197.997,128.576,176.959
Waldo County General Hospital,"Average Payment Period, Accounts Payable and Accrued Expenses",39.893,49.899,45.826,40.891,43.153
Waldo County General Hospital,"Average Payment Period, Current Liabilities",54.41,54.713,50.243,42.565,49.007
Waldo County General Hospital,Equity Financing Ratio,0.697,0.737,0.763,0.756,0.742
Waldo County General Hospital,Fixed Asset Financing,0.481,0.416,0.358,0.335,0.345
Waldo County General Hospital,Cash Flow Divided by Total Debt,0.333,0.426,0.446,0.432,0.408
Waldo County General Hospital,Cash Flow Divided by Total Debt with Operating Income Only,0.228,0.324,0.292,0.285,0.347
Waldo County General Hospital,Debt Service Coverage Total,5.356,6.82,6.919,6.687,9.47
Waldo County General Hospital,Debt Service Coverage Total with Operating Income Only,3.835,5.301,4.69,4.562,8.159
Waldo County General Hospital,Total Margin,0.065,0.086,0.083,0.059,0.051
Waldo County General Hospital,Operating Margin,0.028,0.055,0.041,0.025,0.037
Waldo County General Hospital,Non Operating Revenue Margin,0.58,0.382,0.522,0.593,0.29
Waldo County General Hospital,Return On Assets,0.055,0.071,0.07,0.061,0.054
Waldo County General Hospital,Return On Equity,0.078,0.096,0.092,0.08,0.073
Waldo County General Hospital,Markup,1.823,1.658,1.575,1.548,1.536
Waldo County General Hospital,Deductible,0.417,0.335,0.311,0.312,0.302
Waldo County General Hospital,Markup Adjustment for Deductible,1.077,1.113,1.096,1.076,1.08
Waldo County General Hospital,Reported Income Index,0.944,0.519,0.801,-1.644,2.182
Waldo County General Hospital,Total Asset Turnover,0.845,0.823,0.845,1.029,1.049
Waldo County General Hospital,Fixed Asset Turnover,2.035,2.112,2.149,2.449,2.721
Waldo County General Hospital,Average Age Plant Depreciation Only,8.942,9.292,10.955,10.009,9.552
Waldo County General Hospital,Total Operating Expense Growth,0.047,0.104,0.124,0.202,0.083
Waldo County General Hospital,Total Operating Revenue Growth,0.069,0.135,0.108,0.182,0.097
Waldo County General Hospital,Realized Gains Divided by Non-Operating Revenue,-0.151,0.173,0.426,0.366,-0.039
Waldo County General Hospital,Realized Gains Divided by Net Income,-0.088,0.066,0.222,0.217,-0.011
Waldo County General Hospital,Long Term Debt to Equity,0.276,0.212,0.177,0.179,0.177
York Hospital,Current Ratio with Board Designated and Undesignated Investments,2.955,3.934,3.615,2.712,2.965
York Hospital,Current Ratio without Board Designated and Undesignated Investments,1.25,1.666,1.587,1.38,1.636
York Hospital,Days in Accounts Receivable,42.587,43.626,45.762,42.298,34.851
York Hospital,Acid Test,0.213,0.196,0.2,0.151,0.346
York Hospital,"Days Cash on Hand, Current",12.628,8.021,9.271,7.313,14.586
York Hospital,"Days Cash on Hand, Incl Board Designated & Undesignated Investments",113.705,100.949,103.14,71.655,70.606
York Hospital,"Average Payment Period, Accounts Payable and Accrued Expenses",44.122,35.545,41.601,39.093,37.714
York Hospital,"Average Payment Period, Current Liabilities",59.3,40.974,46.29,48.293,42.139
York Hospital,Equity Financing Ratio,0.579,0.617,0.56,0.497,0.496
York Hospital,Fixed Asset Financing,0.467,0.478,0.47,0.487,0.509
York Hospital,Cash Flow Divided by Total Debt,0.262,0.274,0.22,0.086,0.092
York Hospital,Cash Flow Divided by Total Debt with Operating Income Only,0.22,0.225,0.171,0.116,0.172
York Hospital,Debt Service Coverage Total,4.907,4.996,4.36,2.141,2.099
York Hospital,Debt Service Coverage Total with Operating Income Only,4.194,4.194,3.511,2.717,3.55
York Hospital,Total Margin,0.056,0.043,0.033,-0.013,-0.01
York Hospital,Operating Margin,0.041,0.028,0.016,-0.002,0.017
York Hospital,Non Operating Revenue Margin,0.286,0.365,0.522,0.82,2.756
York Hospital,Return On Assets,0.062,0.052,0.041,-0.018,-0.015
York Hospital,Return On Equity,0.107,0.084,0.073,-0.036,-0.03
York Hospital,Markup,1.853,1.86,1.89,1.892,2.008
York Hospital,Deductible,0.41,0.422,0.429,0.441,0.456
York Hospital,Markup Adjustment for Deductible,1.108,1.088,1.09,1.067,1.102
York Hospital,Reported Income Index,2.812,0.986,-5.563,0.355,1.207
York Hospital,Total Asset Turnover,1.108,1.187,1.225,1.39,1.467
York Hospital,Fixed Asset Turnover,2.345,2.49,2.655,3.153,3.297
York Hospital,Average Age Plant Depreciation Only,8.572,7.686,7.77,7.885,9.07
York Hospital,Total Operating Expense Growth,0.09,0.113,0.135,0.216,0.03
York Hospital,Total Operating Revenue Growth,0.086,0.098,0.122,0.193,0.05
York Hospital,Realized Gains Divided by Non-Operating Revenue,0.58,0.475,0.407,1.032,0.943
York Hospital,Realized Gains Divided by Net Income,0.166,0.174,0.213,0.846,2.599
York Hospital,Long Term Debt to Equity,0.375,0.363,0.38,0.436,0.469
