Organization,Measure,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009
Redington-Fairview General Hospital,Other Non-Current Liabilities,,,,,
Redington-Fairview General Hospital,Fund Balance Unrestricted,37957344,46232110,48511459,48942453,47501010
Redington-Fairview General Hospital,Total Liabilities & Equity,46875542,54435354,62644752,88376282,90625757
Redington-Fairview General Hospital,Total Restricted Assets,618683,624223,639730,722362,772513
Redington-Fairview General Hospital,Cash and Investments,618683,624223,639730,722362,772513
Redington-Fairview General Hospital,Receivables,,,,,
Redington-Fairview General Hospital,Other Assets,,,,,
Redington-Fairview General Hospital,Total Restricted Liabilities and Equity,618683,624223,639730,722362,772513
Redington-Fairview General Hospital,Total Restricted Fund Balance,618683,624223,639730,722362,772513
Redington-Fairview General Hospital,Total Liabilities,,,,,
Redington-Fairview General Hospital,Temporarily Restricted Net Assets,618683,624223,639730,722362,772513
Redington-Fairview General Hospital,Permanently Restricted Net Assets,,,,,
Redington-Fairview General Hospital,Total Gross Patient Service Revenue,,91328992,94367464,86664815,88048194
Redington-Fairview General Hospital,Gross Inpatient Service Revenue,40084588,35039812,31089265,32363760,28258237
Redington-Fairview General Hospital,Gross Outpatient Service Revenue,51244404,59327652,55575550,55684434,58539998
Redington-Fairview General Hospital,Free Care,,,584323,1288195,1446806
Redington-Fairview General Hospital,Bad Debt,,,,,3319492
Redington-Fairview General Hospital,Contractuals,47890877,43586108,33833201,28989843,22736224
Redington-Fairview General Hospital,Changes in Prior Year Estimated/Final Settlements,,,,,
Redington-Fairview General Hospital,Net Patient Service Revenue,39534300,46309385,49551259,54266065,58697284
Redington-Fairview General Hospital,Other Operating Revenue,479211,484025,527127,436142,901822
Redington-Fairview General Hospital,Total Operating Revenue,40013511,46793410,50078386,54702207,59599106
Redington-Fairview General Hospital,Total Operating Expenses,39444256,40247055,46520776,51796346,56484502
Redington-Fairview General Hospital,Depreciation and Amortization,1690307,1773068,1792832,1833084,2322364
Redington-Fairview General Hospital,Interest,262386,265166,254281,247188,234811
Redington-Fairview General Hospital,Other Operating Expenses,37491563,38208821,44473663,49716074,53927327
Redington-Fairview General Hospital,Net Operating Income,569255,6546355,3557610,2905861,3114604
Redington-Fairview General Hospital,Total Non-operating Revenue,1498139,1850576,2260113,2052471,1871583
Redington-Fairview General Hospital,Total Investment Income,1489860,1818105,2233588,1902081,1759916
Redington-Fairview General Hospital,Interest and Dividends,1489860,1818105,2233588,1902081,1759916
Redington-Fairview General Hospital,Realized Gains/Losses on Sales of Securities,,,,,
Redington-Fairview General Hospital,Permanently Impaired Security Writedowns,,,,,
Redington-Fairview General Hospital,Gains/Losses on Joint Ventures/Equity Investments,-86068,-48005,-41438,-79776,-51478
Redington-Fairview General Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Redington-Fairview General Hospital,Other Non-Operating Revenues,,,,94347,80476
Redington-Fairview General Hospital,Excess of Revenue over Expenses,2067394,8396931,5817723,4958332,4986187
Redington-Fairview General Hospital,Extraordinary Gains/Losses,,,,,
Redington-Fairview General Hospital,Total Surplus/Deficit,2067394,8396931,5817723,4958332,4986187
Redington-Fairview General Hospital,Total Change in Unrestricted Net Assets,3076168,8274766,2294857,513626,-1441443
Redington-Fairview General Hospital,Net Assets Released for Restrictions,,,11613,25438,34804
Redington-Fairview General Hospital,Unrealized Gains/Losses on Investments,997161,-147603,1469073,-3057804,-3557280
Redington-Fairview General Hospital,Minimum Pension Liability Adjustment,,,-5042250,-1469534,-2870350
Redington-Fairview General Hospital,Transfers From/To Affiliates,,,,,
Redington-Fairview General Hospital,Mergers,,,,,
Redington-Fairview General Hospital,Consolidations with Support,,,,,
Redington-Fairview General Hospital,Other Changes,,,15507,82632,
Rumford Community Hospital,Total Current Assets,6794322,6920573,8460953,6861883,7340581
Rumford Community Hospital,Cash and Investment,812014,407891,1628543,623705,174130
Rumford Community Hospital,Current Assets Whose Use is Limited,48206,48297,48324,48372,48421
Rumford Community Hospital,Net Patient Accounts Receivable,2404850,2754221,3315993,4203263,5115311
Rumford Community Hospital,Due from Affiliates,12620,11505,11872,18400,20148
Rumford Community Hospital,Third Party Settlements Receivable,3289171,3438745,3197522,1657159,1465258
Rumford Community Hospital,Other Accounts Receivable,,,,,
Rumford Community Hospital,Inventory,198228,213154,192658,219730,210120
Rumford Community Hospital,Other Current Assets,29233,46760,66041,91254,307193
Rumford Community Hospital,Total Non-Current Assets,7311566,10065221,10462668,13915703,15574324
Rumford Community Hospital,Trustee Held Investments,,,,,
Rumford Community Hospital,Board Designated and Undesignated Investments,1456366,1664407,1921478,1951470,1459874
Rumford Community Hospital,Due From Affiliates,,,,,
Rumford Community Hospital,Investments in Affiliates,,,,,
Rumford Community Hospital,Other Non-current Assets,73562,398107,218731,837282,256642
Rumford Community Hospital,"Gross Property, Plant and Equipment",,16326855,19309420,20441700,24202791
Rumford Community Hospital,Accumulated Depreciation,10545217,11306713,12119241,13075840,14190286
Rumford Community Hospital,"Net Property, Plant and Equipment",,5781638,8002707,8322459,11126951
Rumford Community Hospital,Total Unrestricted Assets,14105888,16985794,18923621,20777586,22914905
Rumford Community Hospital,Total Current Liabilities,1190580,2220618,1780535,2463291,3472252
Rumford Community Hospital,Current Long Term Debt,,142092,525579,14040,14688
Rumford Community Hospital,Accounts Payable and Accrued Expenses,948258,1676714,1766495,2438448,1924795
Rumford Community Hospital,Estimated Third Party Settlements,,,,,
Rumford Community Hospital,Due to Affiliates,,,,,
Rumford Community Hospital,Other Current Liabilities,100230,18325,,10155,1532091
Rumford Community Hospital,Total Non-current Liabilities,4099828,4688750,4437631,5020019,4893246
Rumford Community Hospital,Long Term Debt,1492472,969345,748333,733585,718159
Rumford Community Hospital,Estimated Third Party Settlements,,,,,928516
Rumford Community Hospital,Due to Affiliates,,,,,
Rumford Community Hospital,Self Insurance Fund,,,,,
Rumford Community Hospital,Accrued Pension and Post Retiree Health Benefits,2607356,3394755,3692227,4287131,3254026
Rumford Community Hospital,Other Non-Current Liabilities,,324650,-2929,-697,-7455
Rumford Community Hospital,Fund Balance Unrestricted,8815480,10076426,12705454,13294276,14549407
Rumford Community Hospital,Total Liabilities & Equity,14105888,16985794,18923620,20777586,22914905
Rumford Community Hospital,Total Restricted Assets,773958,829619,907721,902205,834415
Rumford Community Hospital,Cash and Investments,773958,829619,907721,902205,834415
Rumford Community Hospital,Receivables,,,,,
Rumford Community Hospital,Other Assets,,,,,
Rumford Community Hospital,Total Restricted Liabilities and Equity,773958,829619,907721,902205,834415
Rumford Community Hospital,Total Restricted Fund Balance,496765,505025,560663,536731,463892
Rumford Community Hospital,Total Liabilities,277193,324594,347058,365474,370523
Rumford Community Hospital,Temporarily Restricted Net Assets,233810,242120,230217,274439,213781
Rumford Community Hospital,Permanently Restricted Net Assets,262955,262905,330446,262292,250111
Rumford Community Hospital,Total Gross Patient Service Revenue,,37057682,38959123,46110482,48748002
Rumford Community Hospital,Gross Inpatient Service Revenue,10974834,10077907,8352029,11662039,11809806
Rumford Community Hospital,Gross Outpatient Service Revenue,26082848,28881216,37758453,37085963,42695435
Rumford Community Hospital,Free Care,,,225346,582767,812007
Rumford Community Hospital,Bad Debt,,,,,919442
Rumford Community Hospital,Contractuals,14509728,14029314,15967741,17578851,20025951
Rumford Community Hospital,Changes in Prior Year Estimated/Final Settlements,-196142,,,,
Rumford Community Hospital,Net Patient Service Revenue,21599308,23099013,27769431,29125766,32104702
Rumford Community Hospital,Other Operating Revenue,413402,369677,201564,85548,112221
Rumford Community Hospital,Total Operating Revenue,22012710,23468690,27970995,29211314,32216923
Rumford Community Hospital,Total Operating Expenses,20217854,22396573,25747364,28662917,30871168
Rumford Community Hospital,Depreciation and Amortization,661390,769186,986377,1100344,1175309
Rumford Community Hospital,Interest,78710,93289,58517,49753,44832
Rumford Community Hospital,Other Operating Expenses,19477754,21534098,24702470,27512820,29651027
Rumford Community Hospital,Net Operating Income,1794856,1072117,2223631,548397,1345755
Rumford Community Hospital,Total Non-operating Revenue,112864,271340,546590,117088,-61112
Rumford Community Hospital,Total Investment Income,112864,157846,255034,67562,-121080
Rumford Community Hospital,Interest and Dividends,112864,157846,62658,67368,56044
Rumford Community Hospital,Realized Gains/Losses on Sales of Securities,,,192376,194,-177124
Rumford Community Hospital,Permanently Impaired Security Writedowns,,,,,
Rumford Community Hospital,Gains/Losses on Joint Ventures/Equity Investments,,,,,
Rumford Community Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Rumford Community Hospital,Other Non-Operating Revenues,,,,,113494
Rumford Community Hospital,Excess of Revenue over Expenses,1907720,1343457,2770221,665485,1284643
Rumford Community Hospital,Extraordinary Gains/Losses,,,,,
Rumford Community Hospital,Total Surplus/Deficit,1907720,1343457,2770221,665485,1284643
Rumford Community Hospital,Total Change in Unrestricted Net Assets,2105220,1254465,2635509,588819,1255131
Rumford Community Hospital,Net Assets Released for Restrictions,,,137470,189863,152184
Rumford Community Hospital,Unrealized Gains/Losses on Investments,60030,-8650,-286896,-82567,-261006
Rumford Community Hospital,Minimum Pension Liability Adjustment,,,,,
Rumford Community Hospital,Transfers From/To Affiliates,,,,,
Rumford Community Hospital,Mergers,,,,,
Rumford Community Hospital,Consolidations with Support,,,,,
Rumford Community Hospital,Other Changes,,-270205,,,
Sebasticook Valley Hospital,Total Current Assets,4464797,4981259,7669991,6593231,9736102
Sebasticook Valley Hospital,Cash and Investment,2255535,1116608,1385595,1915305,4169526
Sebasticook Valley Hospital,Current Assets Whose Use is Limited,157154,160813,162635,155531,153054
Sebasticook Valley Hospital,Net Patient Accounts Receivable,1317621,1403536,3601524,2903983,1934503
Sebasticook Valley Hospital,Due from Affiliates,407,30629,35617,9273,547
Sebasticook Valley Hospital,Third Party Settlements Receivable,195586,1661411,1790311,1018345,2940222
Sebasticook Valley Hospital,Other Accounts Receivable,163381,161913,158548,42036,27387
Sebasticook Valley Hospital,Inventory,201705,211728,224135,256101,242042
Sebasticook Valley Hospital,Other Current Assets,173408,234621,311626,292657,268821
Sebasticook Valley Hospital,Total Non-Current Assets,12150385,12523426,13482008,17140288,15570721
Sebasticook Valley Hospital,Trustee Held Investments,,,,,
Sebasticook Valley Hospital,Board Designated and Undesignated Investments,1654580,1822583,1886845,2092766,4338647
Sebasticook Valley Hospital,Due From Affiliates,,,,,
Sebasticook Valley Hospital,Investments in Affiliates,,,,,
Sebasticook Valley Hospital,Other Non-current Assets,1883241,2298288,3052048,5775974,1602173
Sebasticook Valley Hospital,"Gross Property, Plant and Equipment",,17879741,18618483,19814384,21724536
Sebasticook Valley Hospital,Accumulated Depreciation,9267177,10215928,11271269,12452988,13213884
Sebasticook Valley Hospital,"Net Property, Plant and Equipment",,8612564,8402555,8543115,9271548
Sebasticook Valley Hospital,Total Unrestricted Assets,16615182,17504685,21151999,23733519,25306823
Sebasticook Valley Hospital,Total Current Liabilities,3125445,3287779,6399093,6492653,6451175
Sebasticook Valley Hospital,Current Long Term Debt,,519622,474268,498226,616450
Sebasticook Valley Hospital,Accounts Payable and Accrued Expenses,1804954,1909614,2164417,2715302,2627988
Sebasticook Valley Hospital,Estimated Third Party Settlements,603337,534759,3480531,2948570,2959264
Sebasticook Valley Hospital,Due to Affiliates,197532,369138,255919,212331,238561
Sebasticook Valley Hospital,Other Current Liabilities,,,,,
Sebasticook Valley Hospital,Total Non-current Liabilities,5563980,5171473,4806056,4746195,4342863
Sebasticook Valley Hospital,Long Term Debt,5490685,5017126,4518983,4523981,4121339
Sebasticook Valley Hospital,Estimated Third Party Settlements,,,,,
Sebasticook Valley Hospital,Due to Affiliates,,,,,
Sebasticook Valley Hospital,Self Insurance Fund,,,,,
Sebasticook Valley Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,
Sebasticook Valley Hospital,Other Non-Current Liabilities,73295,154347,287073,222214,221524
Sebasticook Valley Hospital,Fund Balance Unrestricted,7925757,9045433,9946850,12494671,14512785
Sebasticook Valley Hospital,Total Liabilities & Equity,16615182,17504685,21151999,23733519,25306823
Sebasticook Valley Hospital,Total Restricted Assets,468057,539330,557988,420813,446444
Sebasticook Valley Hospital,Cash and Investments,468057,539330,557988,420813,446444
Sebasticook Valley Hospital,Receivables,,,,,
Sebasticook Valley Hospital,Other Assets,,,,,
Sebasticook Valley Hospital,Total Restricted Liabilities and Equity,468057,539330,557988,420813,446444
Sebasticook Valley Hospital,Total Restricted Fund Balance,468057,539330,557988,420813,446444
Sebasticook Valley Hospital,Total Liabilities,,,,,
Sebasticook Valley Hospital,Temporarily Restricted Net Assets,88789,150215,141375,64961,98839
Sebasticook Valley Hospital,Permanently Restricted Net Assets,379268,389115,416613,355852,347605
Sebasticook Valley Hospital,Total Gross Patient Service Revenue,,34256614,37963436,43973468,51362044
Sebasticook Valley Hospital,Gross Inpatient Service Revenue,8339787,9084908,9650692,10939638,11678408
Sebasticook Valley Hospital,Gross Outpatient Service Revenue,25916827,28878528,34322776,40422406,41601962
Sebasticook Valley Hospital,Free Care,,,705260,1527353,1378085
Sebasticook Valley Hospital,Bad Debt,,,,,833121
Sebasticook Valley Hospital,Contractuals,15888800,15871972,16901756,19490837,20151830
Sebasticook Valley Hospital,Changes in Prior Year Estimated/Final Settlements,,,,-1300000,-1353182
Sebasticook Valley Hospital,Net Patient Service Revenue,16829433,19732352,24031978,29636075,30785890
Sebasticook Valley Hospital,Other Operating Revenue,709990,840076,1055206,934452,779984
Sebasticook Valley Hospital,Total Operating Revenue,17539423,20572428,25087184,30570527,31565874
Sebasticook Valley Hospital,Total Operating Expenses,17236209,19628027,24338157,27988023,29944818
Sebasticook Valley Hospital,Depreciation and Amortization,966413,1019140,1069301,1192108,1340295
Sebasticook Valley Hospital,Interest,264976,251815,229888,224883,228305
Sebasticook Valley Hospital,Other Operating Expenses,16004820,18357072,23038968,26571032,28376218
Sebasticook Valley Hospital,Net Operating Income,303214,944401,749027,2582504,1621056
Sebasticook Valley Hospital,Total Non-operating Revenue,57975,122969,167876,172344,73424
Sebasticook Valley Hospital,Total Investment Income,97678,165404,169069,169893,59934
Sebasticook Valley Hospital,Interest and Dividends,74716,84564,90540,66277,120901
Sebasticook Valley Hospital,Realized Gains/Losses on Sales of Securities,22962,80840,78529,103616,-60967
Sebasticook Valley Hospital,Permanently Impaired Security Writedowns,,,,,
Sebasticook Valley Hospital,Gains/Losses on Joint Ventures/Equity Investments,,,,,
Sebasticook Valley Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Sebasticook Valley Hospital,Other Non-Operating Revenues,,,,-39703,-42435
Sebasticook Valley Hospital,Excess of Revenue over Expenses,361189,1067370,916903,2754848,1694480
Sebasticook Valley Hospital,Extraordinary Gains/Losses,,,,,
Sebasticook Valley Hospital,Total Surplus/Deficit,361189,1067370,916903,2754848,1694480
Sebasticook Valley Hospital,Total Change in Unrestricted Net Assets,668623,1119676,901417,2547821,2018114
Sebasticook Valley Hospital,Net Assets Released for Restrictions,,,279724,42710,74704
Sebasticook Valley Hospital,Unrealized Gains/Losses on Investments,27710,9596,41810,-187128,119450
Sebasticook Valley Hospital,Minimum Pension Liability Adjustment,,,,,
Sebasticook Valley Hospital,Transfers From/To Affiliates,,,-132000,-149230,129621
Sebasticook Valley Hospital,Mergers,,,,,
Sebasticook Valley Hospital,Consolidations with Support,,,,,
Sebasticook Valley Hospital,Other Changes,,,,,
Southern Maine Medical Center,Total Current Assets,24302551,23678603,28278254,23039909,35812949
Southern Maine Medical Center,Cash and Investment,5468974,5334468,8785693,9064222,8063990
Southern Maine Medical Center,Current Assets Whose Use is Limited,903122,926807,3440978,1200048,1788246
Southern Maine Medical Center,Net Patient Accounts Receivable,10301057,10897518,10734467,10968948,17401224
Southern Maine Medical Center,Due from Affiliates,,,,,231223
Southern Maine Medical Center,Third Party Settlements Receivable,5661793,4249682,3775184,,6400000
Southern Maine Medical Center,Other Accounts Receivable,114486,449165,117691,311753,111812
Southern Maine Medical Center,Inventory,1032193,941199,907378,905143,1167086
Southern Maine Medical Center,Other Current Assets,820926,879764,516863,589795,649368
Southern Maine Medical Center,Total Non-Current Assets,50542925,54330688,73558982,90168562,92482373
Southern Maine Medical Center,Trustee Held Investments,272150,274103,9152071,242073,186905
Southern Maine Medical Center,Board Designated and Undesignated Investments,19093231,18999373,21016055,25290608,15713428
Southern Maine Medical Center,Due From Affiliates,100000,100000,100000,100000,88063
Southern Maine Medical Center,Investments in Affiliates,53705,544705,544705,150750,150750
Southern Maine Medical Center,Other Non-current Assets,703636,975717,1503528,10063313,6891434
Southern Maine Medical Center,"Gross Property, Plant and Equipment",,77994145,85339592,97134890,115038340
Southern Maine Medical Center,Accumulated Depreciation,47673942,51902802,55892267,60716522,68402784
Southern Maine Medical Center,"Net Property, Plant and Equipment",,30320203,33436790,41242623,54321818
Southern Maine Medical Center,Total Unrestricted Assets,74845476,78009291,101837236,113208471,128295322
Southern Maine Medical Center,Total Current Liabilities,9251172,9609205,12947685,15494950,20834033
Southern Maine Medical Center,Current Long Term Debt,,790000,825000,865000,1307606
Southern Maine Medical Center,Accounts Payable and Accrued Expenses,8434224,8748708,12056167,10991433,10131911
Southern Maine Medical Center,Estimated Third Party Settlements,,,,3187576,5274877
Southern Maine Medical Center,Due to Affiliates,,,,,2219141
Southern Maine Medical Center,Other Current Liabilities,26948,35497,26518,8335,22200
Southern Maine Medical Center,Total Non-current Liabilities,10286556,9759430,26030810,27778725,38972318
Southern Maine Medical Center,Long Term Debt,9746463,8921463,24723327,26376937,37658343
Southern Maine Medical Center,Estimated Third Party Settlements,,,,,
Southern Maine Medical Center,Due to Affiliates,,,,,
Southern Maine Medical Center,Self Insurance Fund,,,,,
Southern Maine Medical Center,Accrued Pension and Post Retiree Health Benefits,540093,837967,1307483,1401788,1313975
Southern Maine Medical Center,Other Non-Current Liabilities,,,,,
Southern Maine Medical Center,Fund Balance Unrestricted,55307748,58640656,62858741,69934796,68488971
Southern Maine Medical Center,Total Liabilities & Equity,74845476,78009291,101837236,113208471,128295322
Southern Maine Medical Center,Total Restricted Assets,7575898,9432082,12194973,8389150,5713414
Southern Maine Medical Center,Cash and Investments,5300247,5910807,9015708,6322882,4216430
Southern Maine Medical Center,Receivables,1715093,2925700,2542851,1443731,1022562
Southern Maine Medical Center,Other Assets,560558,595575,636414,622537,474422
Southern Maine Medical Center,Total Restricted Liabilities and Equity,7575898,9432082,12194973,8389150,5713414
Southern Maine Medical Center,Total Restricted Fund Balance,7575898,9432082,12194973,8389150,5713414
Southern Maine Medical Center,Total Liabilities,,,,,
Southern Maine Medical Center,Temporarily Restricted Net Assets,5961149,7782316,10615738,6798525,4270671
Southern Maine Medical Center,Permanently Restricted Net Assets,1614749,1649766,1579235,1590625,1442743
Southern Maine Medical Center,Total Gross Patient Service Revenue,,173343872,187851556,203489975,211780378
Southern Maine Medical Center,Gross Inpatient Service Revenue,89153728,91963537,96814027,97387983,101961302
Southern Maine Medical Center,Gross Outpatient Service Revenue,84190144,95888019,106675948,114392395,162831345
Southern Maine Medical Center,Free Care,,,2673799,4092231,3171766
Southern Maine Medical Center,Bad Debt,,,,,3332167
Southern Maine Medical Center,Contractuals,82277442,88094468,99987556,102680634,120780536
Southern Maine Medical Center,Changes in Prior Year Estimated/Final Settlements,-1815264,-118171,-45000,-270000,
Southern Maine Medical Center,Net Patient Service Revenue,86875728,91701908,94946738,99672015,129548173
Southern Maine Medical Center,Other Operating Revenue,3394664,3338423,3313729,3303964,3559173
Southern Maine Medical Center,Total Operating Revenue,90270392,95040331,98260467,102975979,133107346
Southern Maine Medical Center,Total Operating Expenses,90114262,94930554,97520457,102865185,131421727
Southern Maine Medical Center,Depreciation and Amortization,4343965,4398812,4525482,5123354,7382982
Southern Maine Medical Center,Interest,579420,544861,450984,585489,1647135
Southern Maine Medical Center,Other Operating Expenses,85190877,89986881,92543991,97156342,122391610
Southern Maine Medical Center,Net Operating Income,156130,109777,740010,110794,1685619
Southern Maine Medical Center,Total Non-operating Revenue,820044,742956,4979361,756998,-5658047
Southern Maine Medical Center,Total Investment Income,674256,647537,4853732,796404,-5649215
Southern Maine Medical Center,Interest and Dividends,674256,647537,4853732,796404,46291
Southern Maine Medical Center,Realized Gains/Losses on Sales of Securities,,,,,836900
Southern Maine Medical Center,Permanently Impaired Security Writedowns,,,,,-6532406
Southern Maine Medical Center,Gains/Losses on Joint Ventures/Equity Investments,,-23351,,,
Southern Maine Medical Center,Permanently Impaired Writedowns of Other Assets,,,,,-114444
Southern Maine Medical Center,Other Non-Operating Revenues,,,,145788,118770
Southern Maine Medical Center,Excess of Revenue over Expenses,976174,852733,5719371,867792,-3972428
Southern Maine Medical Center,Extraordinary Gains/Losses,,,,,
Southern Maine Medical Center,Total Surplus/Deficit,976174,852733,5719371,867792,-3972428
Southern Maine Medical Center,Total Change in Unrestricted Net Assets,1658531,3332908,4218085,7076055,-1445824
Southern Maine Medical Center,Net Assets Released for Restrictions,,,87136,871943,49832
Southern Maine Medical Center,Unrealized Gains/Losses on Investments,521283,1530027,-1630709,-135495,
Southern Maine Medical Center,Minimum Pension Liability Adjustment,,,,,
Southern Maine Medical Center,Transfers From/To Affiliates,73938,78205,79591,81547,616990
Southern Maine Medical Center,Mergers,,,,,
Southern Maine Medical Center,Consolidations with Support,,,,,
Southern Maine Medical Center,Other Changes,,,,,
Spring Harbor Hospital,Total Current Assets,8548679,9935541,7429212,7255290,10456187
Spring Harbor Hospital,Cash and Investment,3734377,1840779,4511287,3877588,7490331
Spring Harbor Hospital,Current Assets Whose Use is Limited,555060,463417,464039,401633,445244
Spring Harbor Hospital,Net Patient Accounts Receivable,1319146,2965471,2043362,2264098,1275612
Spring Harbor Hospital,Due from Affiliates,,,,177299,
Spring Harbor Hospital,Third Party Settlements Receivable,2721340,4306757,,,831163
Spring Harbor Hospital,Other Accounts Receivable,,,,,131230
Spring Harbor Hospital,Inventory,120742,120752,145630,176652,214953
Spring Harbor Hospital,Other Current Assets,98014,238365,264894,358020,67654
Spring Harbor Hospital,Total Non-Current Assets,26763611,25629128,28944075,27423755,22511928
Spring Harbor Hospital,Trustee Held Investments,,,,,
Spring Harbor Hospital,Board Designated and Undesignated Investments,,,,,
Spring Harbor Hospital,Due From Affiliates,,,,,
Spring Harbor Hospital,Investments in Affiliates,,,,,
Spring Harbor Hospital,Other Non-current Assets,300724,289517,4859290,4535135,703897
Spring Harbor Hospital,"Gross Property, Plant and Equipment",,29204625,29511844,29682288,29792858
Spring Harbor Hospital,Accumulated Depreciation,2741738,4172233,5597503,6904238,6300057
Spring Harbor Hospital,"Net Property, Plant and Equipment",,26462887,25339611,24084785,22888620
Spring Harbor Hospital,Total Unrestricted Assets,35312290,35564669,36373287,34679045,32968115
Spring Harbor Hospital,Total Current Liabilities,4670895,4447258,5347123,3439408,2304329
Spring Harbor Hospital,Current Long Term Debt,,1915418,541620,562012,587419
Spring Harbor Hospital,Accounts Payable and Accrued Expenses,1967477,2294419,3107954,2851989,1696487
Spring Harbor Hospital,Estimated Third Party Settlements,,,,,
Spring Harbor Hospital,Due to Affiliates,788000,1611219,1677157,,
Spring Harbor Hospital,Other Current Liabilities,,,,,
Spring Harbor Hospital,Total Non-current Liabilities,24485839,24174670,23612658,23025239,22417398
Spring Harbor Hospital,Long Term Debt,24485839,23944670,23382658,22795239,22187398
Spring Harbor Hospital,Estimated Third Party Settlements,,,,,
Spring Harbor Hospital,Due to Affiliates,,,,,
Spring Harbor Hospital,Self Insurance Fund,,,,,
Spring Harbor Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,
Spring Harbor Hospital,Other Non-Current Liabilities,,230000,230000,230000,230000
Spring Harbor Hospital,Fund Balance Unrestricted,6172029,6942741,7413506,8214398,8246388
Spring Harbor Hospital,Total Liabilities & Equity,35328763,35564669,36373287,34679045,32968115
Spring Harbor Hospital,Total Restricted Assets,269460,406504,540130,473901,427056
Spring Harbor Hospital,Cash and Investments,269460,406504,540130,421037,427056
Spring Harbor Hospital,Receivables,,,,,
Spring Harbor Hospital,Other Assets,,,,52864,
Spring Harbor Hospital,Total Restricted Liabilities and Equity,269460,406504,540130,473901,427056
Spring Harbor Hospital,Total Restricted Fund Balance,252987,406504,540130,473901,427056
Spring Harbor Hospital,Total Liabilities,16473,,,,
Spring Harbor Hospital,Temporarily Restricted Net Assets,252987,406504,190130,123901,77056
Spring Harbor Hospital,Permanently Restricted Net Assets,,350000,350000,350000,
Spring Harbor Hospital,Total Gross Patient Service Revenue,,41220507,42756709,44139222,48474557
Spring Harbor Hospital,Gross Inpatient Service Revenue,40991459,38814296,39245157,42705413,43442618
Spring Harbor Hospital,Gross Outpatient Service Revenue,229048,3942413,4894065,5769144,2648257
Spring Harbor Hospital,Free Care,,,5422789,4350050,4134741
Spring Harbor Hospital,Bad Debt,,,,,555735
Spring Harbor Hospital,Contractuals,7257368,8330250,10152645,10006367,9197558
Spring Harbor Hospital,Changes in Prior Year Estimated/Final Settlements,,,-500000,,
Spring Harbor Hospital,Net Patient Service Revenue,27984615,29554064,29528813,32688620,30730200
Spring Harbor Hospital,Other Operating Revenue,301943,729046,941202,1028123,1012055
Spring Harbor Hospital,Total Operating Revenue,28286558,30283110,30470015,33716743,31742255
Spring Harbor Hospital,Total Operating Expenses,27644074,29608005,29885477,32996445,31354555
Spring Harbor Hospital,Depreciation and Amortization,1425178,1471787,1447628,1338113,1182063
Spring Harbor Hospital,Interest,1339242,1283549,1220450,1205922,1187649
Spring Harbor Hospital,Other Operating Expenses,24879654,26852669,27217399,30452410,28984843
Spring Harbor Hospital,Net Operating Income,642484,675105,584538,720298,387700
Spring Harbor Hospital,Total Non-operating Revenue,80489,99407,782495,23267,25711
Spring Harbor Hospital,Total Investment Income,82188,109546,133328,19308,25711
Spring Harbor Hospital,Interest and Dividends,82188,109546,133328,19308,25711
Spring Harbor Hospital,Realized Gains/Losses on Sales of Securities,,,,,
Spring Harbor Hospital,Permanently Impaired Security Writedowns,,,,,
Spring Harbor Hospital,Gains/Losses on Joint Ventures/Equity Investments,,,,,
Spring Harbor Hospital,Permanently Impaired Writedowns of Other Assets,-1699,-10139,-833,891,
Spring Harbor Hospital,Other Non-Operating Revenues,,,,,
Spring Harbor Hospital,Excess of Revenue over Expenses,722973,774512,1367033,743565,413411
Spring Harbor Hospital,Extraordinary Gains/Losses,,,,,
Spring Harbor Hospital,Total Surplus/Deficit,722973,774512,1367033,743565,413411
Spring Harbor Hospital,Total Change in Unrestricted Net Assets,1717973,770712,470765,800892,31990
Spring Harbor Hospital,Net Assets Released for Restrictions,,,995000,,192498
Spring Harbor Hospital,Unrealized Gains/Losses on Investments,,,,,
Spring Harbor Hospital,Minimum Pension Liability Adjustment,,,,,
Spring Harbor Hospital,Transfers From/To Affiliates,,-3800,-1088766,-11778,-469757
Spring Harbor Hospital,Mergers,,,,,
Spring Harbor Hospital,Consolidations with Support,,,,,
Spring Harbor Hospital,Other Changes,,,,,
St. Andrews Hospital,Total Current Assets,4682940,4277140,4505442,5812643,4744227
St. Andrews Hospital,Cash and Investment,1092113,918898,1103146,2261956,1416137
St. Andrews Hospital,Current Assets Whose Use is Limited,174692,178534,179820,175014,171364
St. Andrews Hospital,Net Patient Accounts Receivable,2522425,2559468,2499495,2555881,2471491
St. Andrews Hospital,Due from Affiliates,288856,67889,188248,285404,172506
St. Andrews Hospital,Third Party Settlements Receivable,,,,,
St. Andrews Hospital,Other Accounts Receivable,121202,61154,61153,61154,29897
St. Andrews Hospital,Inventory,266324,292162,308613,226597,246899
St. Andrews Hospital,Other Current Assets,217328,199035,164967,246637,235933
St. Andrews Hospital,Total Non-Current Assets,21086705,20640574,22424948,24781413,23948216
St. Andrews Hospital,Trustee Held Investments,,,,,
St. Andrews Hospital,Board Designated and Undesignated Investments,3448116,3670232,4044611,3054110,3163775
